5	0.1
  En 	n	1
 "Ing	e	1
 "Ni 	k	1
 "arb	e	1
 "dro	g	1
 "eff	e	1
 "ene	r	1
 "fru	k	1
 "gam	l	1
 "st√	∂	1
 'n' 	r	2
 '√∂p	p	1
 ( fr	√	1
 ('ne	d	1
 ((An	s	9
 ((Be	g	1
 ((Bo	r	1
 ((Br	√	1
 ((De	n	1
 ((Eu	r	1
 ((Fi	s	1
 ((Id	√	1
 ((In	l	1
 ((To	t	1
 ((Ut	n	1
 ((Ve	t	1
 ((√ñ	v	1
 (...	)	10
 (124	 	1
 (138	0	1
 (141	2	1
 (151	4	1
 (19,	1	1
 (199	2	1
 (200	5	1	6	1	7	1
 (201	4	3
 (21 	p	1
 (22 	p	1
 (23 	p	2
 (23,	1	1
 (24 	j	1
 (27 	√	1
 (3,3	 	1
 (32 	p	1
 (34 	p	1
 (47 	6	1
 (50 	0	1
 (60 	p	1
 (700	 	1
 (8,3	 	1
 (9,9	 	1
 (93 	8	1
 (ACP	P	2
 (AHL	C	1
 (ALD	E	1
 (AU)	 	1
 (AVS	-	2
 (And	r	1
 (Ase	a	2
 (B2B	)	1
 (B2C	)	1
 (B7-	0	1
 (BNI	)	1
 (BNP	)	23
 (Bel	g	1
 (Bra	s	2
 (Bri	k	1
 (C7-	0	1
 (CCO	)	2
 (CEB	S	1
 (CIP	)	1
 (COH	O	1
 (CSR	)	1
 (Ced	e	2
 (Cep	o	1
 (Cet	a	1
 (Cor	e	1
 (Cre	s	1
 (DDA	)	1
 (DEM	O	1
 (EAS	A	1
 (EBA	)	5
 (EBR	D	1
 (ECB	)	12
 (ECD	C	3
 (ECN	N	18
 (EDA	)	1
 (EEA	S	2
 (EEG	)	8
 (EFF	)	3
 (EFS	F	3
 (EG)	 	43
 (EGT	S	1
 (EIA	)	2
 (EIB	)	5
 (EIF	)	1
 (EIO	P	1
 (EIT	)	1	I	1
 (EJF	L	4
 (EMS	A	1
 (EN)	 	2
 (EPS	O	1
 (ERA	)	2
 (ERC	)	1
 (ESF	)	5
 (ESM	)	1
 (ETF	)	2
 (ETS	-	1
 (EU)	 	1
 (EU,	 	2
 (EU-	i	1
 (EUF	)	3	-	5
 (EUM	M	2
 (Ech	o	1
 (Efs	a	7
 (Egn	o	1
 (Eni	s	1
 (Era	s	1
 (Eru	f	4
 (Esm	a	1
 (Eun	i	1
 (Eur	a	2	e	1	o	20
 (FAO	)	4
 (FEU	)	1
 (FN)	,	2
 (FN,	 	1
 (FR)	 	1
 (FTA	)	8
 (FTT	)	1
 (Fer	r	1
 (FoU	)	2
 (Fra	n	2
 (Fro	n	4
 (F√∂	r	1
 (GAT	S	1
 (GJP	)	7
 (GMO	)	1
 (GNS	S	17
 (GPS	)	4
 (GSF	P	6
 (GSP	)	1
 (GTS	)	1
 (Gat	t	1
 (Gem	e	1
 (Glo	b	3
 (Gus	p	11
 (H.G	.	1
 (IAB	)	1
 (IAE	A	6
 (ICC	)	3
 (ICI	+	1
 (IFM	I	1
 (IKT	)	1
 (ILO	)	15
 (IMC	O	1
 (IMF	)	13
 (IOM	)	1
 (IPO	A	1
 (IT)	 	1
 (ITR	E	2
 (ITS	)	1
 (IUU	)	6	-	2
 (Icc	a	1
 (Int	e	1
 (Ite	r	1
 (Jas	p	1
 (Jer	e	1
 (Jes	s	1
 (LIC	R	2
 (LLR	C	2
 (MIC	)	1
 (MRS	A	1
 (Mar	i	1
 (Mod	e	1
 (Mol	o	1
 (Naf	t	1
 (Nat	o	8
 (Nor	t	1
 (O-0	0	1
 (OEC	D	4
 (OF/	2	1
 (OSH	A	1
 (OSS	E	5
 (Ola	f	7
